date,state,demo_age_5_17,bio_age_5_17,age_5_17,gap_5_17
02-11-2025,Goa,12,78.0,2.0,10.0
02-11-2025,Gujarat,757,2352.0,468.0,289.0
02-11-2025,Haryana,616,4364.0,129.0,487.0
02-11-2025,Himachal Pradesh,146,2109.0,10.0,136.0
02-11-2025,Jammu and Kashmir,191,1933.0,198.0,-7.0
02-11-2025,Jharkhand,349,3250.0,1162.0,-813.0
02-11-2025,Karnataka,607,2819.0,291.0,316.0
02-11-2025,Kerala,289,1149.0,231.0,58.0
02-11-2025,Ladakh,4,13.0,0.0,4.0
02-11-2025,Lakshadweep,2,6.0,0.0,2.0
02-11-2025,Madhya Pradesh,834,10511.0,1262.0,-428.0
02-11-2025,Maharashtra,986,14773.0,1070.0,-84.0
02-11-2025,Manipur,805,1783.0,186.0,619.0
02-11-2025,Meghalaya,15,18.0,31.0,-16.0
02-11-2025,Mizoram,8,23.0,1.0,7.0
02-11-2025,Nagaland,21,102.0,36.0,-15.0
02-11-2025,Odisha,603,2186.0,373.0,230.0
02-11-2025,Orissa,13,10.0,9.0,4.0
02-11-2025,Pondicherry,7,18.0,0.0,7.0
02-11-2025,Puducherry,39,104.0,2.0,37.0
02-11-2025,Punjab,120,1123.0,163.0,-43.0
02-11-2025,Rajasthan,1039,5543.0,1799.0,-760.0
02-11-2025,Sikkim,2,11.0,10.0,-8.0
02-11-2025,Tamil Nadu,3935,16847.0,937.0,2998.0
02-11-2025,Telangana,3693,4124.0,528.0,3165.0
02-11-2025,Tripura,43,334.0,67.0,-24.0
02-11-2025,Uttar Pradesh,3764,44977.0,7299.0,-3535.0
02-11-2025,Uttarakhand,242,3302.0,81.0,161.0
02-11-2025,West Bengal,1311,4158.0,1307.0,4.0
02-11-2025,Westbengal,0,0.0,0.0,0.0
02-11-2025,andhra pradesh,0,0.0,0.0,0.0
02-12-2025,Andaman & Nicobar Islands,0,5.0,0.0,0.0
02-12-2025,Andaman and Nicobar Islands,9,110.0,0.0,9.0
02-12-2025,Andhra Pradesh,5630,12448.0,0.0,5630.0
02-12-2025,Arunachal Pradesh,99,692.0,0.0,99.0
02-12-2025,Assam,1105,5105.0,0.0,1105.0
02-12-2025,Bihar,5134,9844.0,0.0,5134.0
02-12-2025,Chandigarh,42,134.0,0.0,42.0
02-12-2025,Chhattisgarh,1468,5952.0,0.0,1468.0
02-12-2025,Dadra & Nagar Haveli,0,1.0,0.0,0.0
02-12-2025,Dadra and Nagar Haveli,0,18.0,0.0,0.0
02-12-2025,Dadra and Nagar Haveli and Daman and Diu,2,1.0,0.0,2.0
02-12-2025,Daman & Diu,0,3.0,0.0,0.0
02-12-2025,Daman and Diu,5,51.0,0.0,5.0
02-12-2025,Delhi,421,1767.0,0.0,421.0
02-12-2025,Goa,22,331.0,0.0,22.0
02-12-2025,Gujarat,1147,12642.0,0.0,1147.0
02-12-2025,Haryana,669,4503.0,0.0,669.0
02-12-2025,Himachal Pradesh,217,1458.0,0.0,217.0
02-12-2025,Jammu & Kashmir,1,1.0,0.0,1.0
02-12-2025,Jammu and Kashmir,504,4619.0,0.0,504.0
02-12-2025,Jharkhand,1349,4449.0,0.0,1349.0
02-12-2025,Karnataka,2064,11592.0,0.0,2064.0
02-12-2025,Kerala,863,5101.0,0.0,863.0
02-12-2025,Ladakh,17,5.0,0.0,17.0
02-12-2025,Lakshadweep,0,12.0,0.0,0.0
02-12-2025,Madhya Pradesh,1792,11385.0,0.0,1792.0
02-12-2025,Maharashtra,1725,23269.0,0.0,1725.0
02-12-2025,Manipur,435,752.0,0.0,435.0
02-12-2025,Meghalaya,39,84.0,0.0,39.0
02-12-2025,Mizoram,36,405.0,0.0,36.0
02-12-2025,Nagaland,21,202.0,0.0,21.0
02-12-2025,Odisha,1148,7471.0,0.0,1148.0
02-12-2025,Orissa,31,130.0,0.0,31.0
02-12-2025,Pondicherry,18,54.0,0.0,18.0
02-12-2025,Puducherry,47,204.0,0.0,47.0
02-12-2025,Punjab,383,9553.0,0.0,383.0
02-12-2025,Rajasthan,2100,15553.0,0.0,2100.0
02-12-2025,Sikkim,15,56.0,0.0,15.0
